ticker,exchange_cd,date,sentiment,sentiment_high,sentiment_low,news_volume,news_buzz,name
AAPL,CI,2013.2.6,0.929,3.147,-2.29,28,4,APPLE INC
AAPL,CI,2013.2.7,0.286,2.632,-3.06,77,10,APPLE INC
AAPL,CI,2013.2.8,0.542,2.768,-2.685,48,6,APPLE INC
AAPL,CI,2013.2.9,0.056,2.538,-3.427,18,5,APPLE INC
AAPL,CI,2013.2.10,0.25,3.023,-3.523,4,4,APPLE INC
AAPL,CI,2013.2.11,0.385,2.096,-2.327,26,6,APPLE INC
AAPL,CI,2013.2.12,-1.5,0.618,-2.618,4,0,APPLE INC
AAPL,CI,2013.2.13,0,0,0,0,0,APPLE INC
AAPL,CI,2013.2.14,0,0,0,0,0,APPLE INC
AAPL,CI,2013.2.15,0,0,0,0,0,APPLE INC
AAPL,CI,2013.2.16,0,0,0,0,0,APPLE INC
AAPL,CI,2013.2.17,0,0,0,0,0,APPLE INC
AAPL,CI,2013.2.18,0.231,2.158,-2.697,26,10,APPLE INC
AAPL,CI,2013.2.19,1.111,3.145,-1.923,54,10,APPLE INC
AAPL,CI,2013.2.20,-1.279,2.041,-3.598,61,10,APPLE INC
AAPL,CI,2013.2.21,0.25,2.281,-2.781,64,10,APPLE INC
AAPL,CI,2013.2.22,0.45,2.652,-2.752,40,6,APPLE INC
AAPL,CI,2013.2.23,0.05,1.96,-2.86,20,6,APPLE INC
AAPL,CI,2013.2.24,1.2,2.881,-1.481,15,7,APPLE INC
AAPL,CI,2013.2.25,1.457,3.486,-1.573,46,10,APPLE INC
AAPL,CI,2013.2.26,0.463,2.326,-2.4,54,8,APPLE INC
AAPL,CI,2013.2.27,0.311,2.364,-2.742,45,7,APPLE INC
AAPL,CI,2013.2.28,0.204,2.451,-3.044,54,8,APPLE INC
AAPL,CI,2013.3.1,0.174,2.283,-2.935,46,8,APPLE INC
AAPL,CI,2013.3.2,1,3.029,-2.029,17,7,APPLE INC
AAPL,CI,2013.3.3,3,5,1,2,6,APPLE INC
AAPL,CI,2013.3.4,-1.125,1.536,-2.786,40,10,APPLE INC
AAPL,CI,2013.3.5,1.625,3.609,-1.359,40,7,APPLE INC
AAPL,CI,2013.3.6,1.192,3.043,-1.658,52,9,APPLE INC
AAPL,CI,2013.3.7,0.88,2.805,-2.045,50,9,APPLE INC
AAPL,CI,2013.3.8,1.121,2.992,-1.75,33,6,APPLE INC
AAPL,CI,2013.3.9,0.6,2.815,-2.615,15,6,APPLE INC
AAPL,CI,2013.3.10,-1,-1,-1,2,5,APPLE INC
AAPL,CI,2013.3.11,0.957,3.25,-2.337,23,7,APPLE INC
AAPL,CI,2013.3.12,1.2,3.223,-1.823,30,5,APPLE INC
AAPL,CI,2013.3.13,1,3.14,-2.14,31,5,APPLE INC
AAPL,CI,2013.3.14,0.263,2.151,-2.624,57,10,APPLE INC
AAPL,CI,2013.3.15,1.067,3.147,-2.014,45,7,APPLE INC
AAPL,CI,2013.3.16,1,3.098,-2.098,5,4,APPLE INC
AAPL,CI,2013.3.17,0,0,0,0,0,APPLE INC
AAPL,CI,2013.3.18,0.576,2.925,-2.773,33,6,APPLE INC
AAPL,CI,2013.3.19,0.6,2.918,-2.718,30,5,APPLE INC
AAPL,CI,2013.3.20,1.04,3.64,-2.56,25,4,APPLE INC
AAPL,CI,2013.3.21,0.278,2.158,-2.602,18,3,APPLE INC
AAPL,CI,2013.3.22,0.423,2.368,-2.522,26,5,APPLE INC
AAPL,CI,2013.3.23,-2,-2,-2,1,4,APPLE INC
AAPL,CI,2013.3.24,1,2.414,-1.414,3,3,APPLE INC
AAPL,CI,2013.3.25,0.778,3.076,-2.521,36,10,APPLE INC
AAPL,CI,2013.3.26,0.513,2.887,-2.861,39,10,APPLE INC
AAPL,CI,2013.3.27,0.97,2.684,-1.745,33,8,APPLE INC
AAPL,CI,2013.3.28,1.182,3.334,-1.971,33,8,APPLE INC
AAPL,CI,2013.3.29,1.063,3.108,-1.983,16,4,APPLE INC
AAPL,CI,2013.3.30,2.5,3,2,2,2,APPLE INC
AAPL,CI,2013.3.31,3,3,3,1,2,APPLE INC
AAPL,CI,2013.4.1,-1.143,1.703,-2.989,28,7,APPLE INC
AAPL,CI,2013.4.2,0.733,2.803,-2.337,45,10,APPLE INC
AAPL,CI,2013.4.3,1.174,3.273,-1.925,23,5,APPLE INC
AAPL,CI,2013.4.4,1.974,4.215,-1.268,38,8,APPLE INC
AAPL,CI,2013.4.5,1.04,3.497,-2.417,25,5,APPLE INC
AAPL,CI,2013.4.6,-1.375,2.171,-3.921,8,4,APPLE INC
AAPL,CI,2013.4.7,0.667,1.138,0.195,3,4,APPLE INC
AAPL,CI,2013.4.8,1.083,3.261,-2.095,24,7,APPLE INC
AAPL,CI,2013.4.9,0.537,2.501,-2.428,41,9,APPLE INC
AAPL,CI,2013.4.10,0.553,2.689,-2.583,38,9,APPLE INC
AAPL,CI,2013.4.11,0.535,2.585,-2.515,43,10,APPLE INC
AAPL,CI,2013.4.12,0.435,2.638,-2.768,23,5,APPLE INC
AAPL,CI,2013.4.13,3.25,4.34,2.16,4,3,APPLE INC
AAPL,CI,2013.4.14,1,2.414,-1.414,5,3,APPLE INC
AAPL,CI,2013.4.15,0.1,2.195,-2.995,40,10,APPLE INC
AAPL,CI,2013.4.16,1.219,3.626,-2.189,32,7,APPLE INC
AAPL,CI,2013.4.17,-1.215,1.517,-2.947,65,10,APPLE INC
AAPL,CI,2013.4.18,-1.01,2.424,-3.445,97,10,APPLE INC
AAPL,CI,2013.4.19,0.233,1.94,-2.473,30,3,APPLE INC
AAPL,CI,2013.4.20,-1.167,1.697,-3.03,6,2,APPLE INC
AAPL,CI,2013.4.21,-1.4,1.8,-3.6,10,2,APPLE INC
AAPL,CI,2013.4.22,0.721,2.813,-2.372,68,8,APPLE INC
AAPL,CI,2013.4.23,0.436,2.745,-2.874,101,10,APPLE INC
AAPL,CI,2013.4.24,0.695,2.886,-2.497,203,10,APPLE INC
AAPL,CI,2013.4.25,0.921,3.191,-2.349,63,3,APPLE INC
AAPL,CI,2013.4.26,0.785,2.685,-2.115,93,4,APPLE INC
AAPL,CI,2013.4.27,-1.154,1.721,-3.029,13,2,APPLE INC
AAPL,CI,2013.4.28,0.727,2.082,-1.627,11,2,APPLE INC
AAPL,CI,2013.4.29,0.987,3.01,-2.036,75,4,APPLE INC
AAPL,CI,2013.4.30,0.675,2.805,-2.454,114,5,APPLE INC
AAPL,CI,2013.5.1,0.632,2.841,-2.577,68,3,APPLE INC
AAPL,CI,2013.5.2,1.69,3.639,-1.26,58,5,APPLE INC
AAPL,CI,2013.5.3,0.929,3.099,-2.241,56,4,APPLE INC
AAPL,CI,2013.5.4,1.6,4.138,-1.938,10,3,APPLE INC
AAPL,CI,2013.5.5,-2,-1.184,-2.816,3,2,APPLE INC
AAPL,CI,2013.5.6,1.289,3.526,-1.948,45,5,APPLE INC
AAPL,CI,2013.5.7,1.088,3.316,-2.139,68,5,APPLE INC
AAPL,CI,2013.5.8,1.367,3.654,-1.921,60,8,APPLE INC
AAPL,CI,2013.5.9,0.636,2.572,-2.299,66,9,APPLE INC
AAPL,CI,2013.5.10,0.711,2.379,-1.958,38,5,APPLE INC
AAPL,CI,2013.5.11,1.056,2.803,-1.692,18,5,APPLE INC
AAPL,CI,2013.5.12,-1.5,1,-3,2,4,APPLE INC
AAPL,CI,2013.5.13,1,2.715,-1.715,34,7,APPLE INC
AAPL,CI,2013.5.14,1.164,3.316,-1.987,73,10,APPLE INC
AAPL,CI,2013.5.15,0.45,2.675,-2.774,111,10,APPLE INC
AAPL,CI,2013.5.16,0.592,2.509,-2.326,71,6,APPLE INC
AAPL,CI,2013.5.17,0.206,2.143,-2.73,63,5,APPLE INC
AAPL,CI,2013.5.18,0.867,2.275,-1.541,15,4,APPLE INC
AAPL,CI,2013.5.19,2.75,3.183,2.317,4,3,APPLE INC
AAPL,CI,2013.5.20,0.481,2.86,-2.897,54,6,APPLE INC
AAPL,CI,2013.5.21,0.27,2.095,-2.554,159,10,APPLE INC
AAPL,CI,2013.5.22,0.584,2.382,-2.214,113,7,APPLE INC
AAPL,CI,2013.5.23,0.46,2.576,-2.656,87,5,APPLE INC
AAPL,CI,2013.5.24,0.574,2.88,-2.732,54,3,APPLE INC
AAPL,CI,2013.5.25,0.2,0.948,-1.548,5,2,APPLE INC
AAPL,CI,2013.5.26,-1,3,-4,2,1,APPLE INC
AAPL,CI,2013.5.27,-2.4,0.097,-3.897,25,2,APPLE INC
AAPL,CI,2013.5.28,0.4,2.554,-2.754,35,2,APPLE INC
AAPL,CI,2013.5.29,-1.507,1.393,-3.408,69,6,APPLE INC
AAPL,CI,2013.5.30,1.115,3.083,-1.853,87,10,APPLE INC
AAPL,CI,2013.5.31,-1.065,1.712,-2.841,62,7,APPLE INC
AAPL,CI,2013.6.1,0.286,1.864,-2.292,21,5,APPLE INC
